city,station,lat,long,datasource,date,pollutant,concentration,unit,station_area,time,date.time,year,min_date,max_date,obs.period
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-16,PM2.5,6.81773550724638,ug/m3,NA,00:00:00,2017-10-16 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-16,PM2.5,7.48017953321364,ug/m3,NA,00:00:00,2017-10-16 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-16,PM2.5,8.56287974683544,ug/m3,NA,00:00:00,2017-10-16 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-17,PM2.5,8.38875874125874,ug/m3,NA,00:00:00,2017-10-17 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-17,PM2.5,5.79854895104895,ug/m3,NA,00:00:00,2017-10-17 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-17,PM2.5,6.18848591549296,ug/m3,NA,00:00:00,2017-10-17 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-17,PM2.5,4.279,ug/m3,NA,00:00:00,2017-10-17 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-18,PM2.5,9.63422608695652,ug/m3,NA,00:00:00,2017-10-18 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-18,PM2.5,6.64758680555556,ug/m3,NA,00:00:00,2017-10-18 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-18,PM2.5,7.24133680555556,ug/m3,NA,00:00:00,2017-10-18 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
