"station","city","datasource","pollutant","unit","concentration","date","station_area","lat","long","obs.period"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",21.959125,"2020-03-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",51.70375,"2011-04-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",22.62625,"2012-04-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",28.204625,"2015-04-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",46.09835,"2019-04-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",15.15,"2020-04-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",22.7044583333333,"2011-05-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",38.0012916666667,"2012-05-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",23.1733333333333,"2014-05-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",52.0273333333333,"2019-05-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",28.7145833333333,"2020-05-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",45.124375,"2011-06-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",54.9972916666667,"2012-06-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",24.4503333333333,"2014-06-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",31.6794583333333,"2015-06-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",54.6389166666667,"2019-06-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",47.662875,"2020-06-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",48.7596666666667,"2011-07-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",45.188375,"2012-07-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",21.3489583333333,"2014-07-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",45.8470416666667,"2019-07-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",39.14375,"2020-07-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",59.5724583333333,"2011-08-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",60.8691666666667,"2012-08-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",67.8694583333333,"2014-08-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",52.8476666666667,"2016-08-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",53.4842608695652,"2019-08-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",64.4924583333333,"2020-08-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",54.9021333333333,"2011-09-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",35.1598333333333,"2012-09-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",93.8788,"2014-09-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",43.273625,"2016-09-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",39.9117083333333,"2019-09-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",15.5221666666667,"2020-09-01","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",32.4037916666667,"2012-01-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",24.2084583333333,"2014-01-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",26.3891666666667,"2015-01-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",18.2724782608696,"2017-01-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",31.07425,"2019-01-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",18.5756666666667,"2020-01-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",39.6571666666667,"2011-10-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",12.2638888888889,"2014-10-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",44.5629583333333,"2016-10-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",25.74725,"2019-10-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",45.1840416666667,"2020-10-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",55.3019166666667,"2011-11-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",30.5937083333333,"2014-11-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",36.516625,"2016-11-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",32.5179166666667,"2018-11-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",14.9180416666667,"2019-11-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",15.8409583333333,"2011-12-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",31.4189166666667,"2016-12-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",28.1737916666667,"2018-12-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",23.7020416666667,"2019-12-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",23.5193333333333,"2011-02-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",43.4352916666667,"2012-02-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",2.488,"2014-02-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",33.2491304347826,"2015-02-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
