"station","city","datasource","pollutant","unit","date","lat","long","obs.period","concentration","station_area"
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-01-24,8.8851,38.8077,"2021/01/22 - 2021/03/31",11.1561224489796,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-01-25,8.8851,38.8077,"2021/01/22 - 2021/03/31",12.2701960784314,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-01-26,8.8851,38.8077,"2021/01/22 - 2021/03/31",8.57195652173913,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-01-27,8.8851,38.8077,"2021/01/22 - 2021/03/31",5.30906801007557,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-01-28,8.8851,38.8077,"2021/01/22 - 2021/03/31",6.89085820895522,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-01-29,8.8851,38.8077,"2021/01/22 - 2021/03/31",8.88795811518325,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-01-30,8.8851,38.8077,"2021/01/22 - 2021/03/31",14.0677966101695,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-01-31,8.8851,38.8077,"2021/01/22 - 2021/03/31",8.28378378378378,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-01,8.8851,38.8077,"2021/01/22 - 2021/03/31",4.81881720430107,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-02,8.8851,38.8077,"2021/01/22 - 2021/03/31",11.9415343915344,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-03,8.8851,38.8077,"2021/01/22 - 2021/03/31",7.15740740740741,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-04,8.8851,38.8077,"2021/01/22 - 2021/03/31",8.82,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-05,8.8851,38.8077,"2021/01/22 - 2021/03/31",29.6515320334262,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-06,8.8851,38.8077,"2021/01/22 - 2021/03/31",19.6334117647059,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-07,8.8851,38.8077,"2021/01/22 - 2021/03/31",12.837619047619,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-08,8.8851,38.8077,"2021/01/22 - 2021/03/31",19.9515463917526,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-18,8.8851,38.8077,"2021/01/22 - 2021/03/31",14.3171755725191,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-19,8.8851,38.8077,"2021/01/22 - 2021/03/31",17.81044546851,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-20,8.8851,38.8077,"2021/01/22 - 2021/03/31",21.0201438848921,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-21,8.8851,38.8077,"2021/01/22 - 2021/03/31",16.8096541786744,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-22,8.8851,38.8077,"2021/01/22 - 2021/03/31",24.709561752988,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-25,8.8851,38.8077,"2021/01/22 - 2021/03/31",12.3481481481481,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-26,8.8851,38.8077,"2021/01/22 - 2021/03/31",10.3603174603175,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-27,8.8851,38.8077,"2021/01/22 - 2021/03/31",22.2803738317757,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-04,8.8851,38.8077,"2021/01/22 - 2021/03/31",12.9207650273224,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-05,8.8851,38.8077,"2021/01/22 - 2021/03/31",15.7863636363636,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-06,8.8851,38.8077,"2021/01/22 - 2021/03/31",16.241116751269,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-07,8.8851,38.8077,"2021/01/22 - 2021/03/31",21.6376811594203,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-08,8.8851,38.8077,"2021/01/22 - 2021/03/31",22.075983436853,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-09,8.8851,38.8077,"2021/01/22 - 2021/03/31",35.5768472906404,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-14,8.8851,38.8077,"2021/01/22 - 2021/03/31",12.9180970149254,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-15,8.8851,38.8077,"2021/01/22 - 2021/03/31",17.845871559633,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-18,8.8851,38.8077,"2021/01/22 - 2021/03/31",8.73316831683168,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-23,8.8851,38.8077,"2021/01/22 - 2021/03/31",7.2,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-01-22,8.8851,38.8077,"2021/01/22 - 2021/03/31",7.45552941176471,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-01-23,8.8851,38.8077,"2021/01/22 - 2021/03/31",7.94790528233151,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-01-24,8.8851,38.8077,"2021/01/22 - 2021/03/31",10.1826530612245,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-01-25,8.8851,38.8077,"2021/01/22 - 2021/03/31",11.1088235294118,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-01-26,8.8851,38.8077,"2021/01/22 - 2021/03/31",7.81586956521739,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-01-27,8.8851,38.8077,"2021/01/22 - 2021/03/31",4.75415617128463,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-01-28,8.8851,38.8077,"2021/01/22 - 2021/03/31",6.34664179104478,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-01-29,8.8851,38.8077,"2021/01/22 - 2021/03/31",8.11553228621291,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-01-30,8.8851,38.8077,"2021/01/22 - 2021/03/31",12.6920903954802,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-01-31,8.8851,38.8077,"2021/01/22 - 2021/03/31",7.66816816816817,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-01,8.8851,38.8077,"2021/01/22 - 2021/03/31",4.39032258064516,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-02,8.8851,38.8077,"2021/01/22 - 2021/03/31",10.4997354497355,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-03,8.8851,38.8077,"2021/01/22 - 2021/03/31",6.69478114478115,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-04,8.8851,38.8077,"2021/01/22 - 2021/03/31",8.3168,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-05,8.8851,38.8077,"2021/01/22 - 2021/03/31",26.6440111420613,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-06,8.8851,38.8077,"2021/01/22 - 2021/03/31",18.1578823529412,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-07,8.8851,38.8077,"2021/01/22 - 2021/03/31",11.8814285714286,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-08,8.8851,38.8077,"2021/01/22 - 2021/03/31",18.4536082474227,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-18,8.8851,38.8077,"2021/01/22 - 2021/03/31",13.4230916030534,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-19,8.8851,38.8077,"2021/01/22 - 2021/03/31",16.5665130568356,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-20,8.8851,38.8077,"2021/01/22 - 2021/03/31",19.6938129496403,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-21,8.8851,38.8077,"2021/01/22 - 2021/03/31",15.9132564841499,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-22,8.8851,38.8077,"2021/01/22 - 2021/03/31",22.0458167330677,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-25,8.8851,38.8077,"2021/01/22 - 2021/03/31",11.8314814814815,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-26,8.8851,38.8077,"2021/01/22 - 2021/03/31",9.87619047619048,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-27,8.8851,38.8077,"2021/01/22 - 2021/03/31",20.6093457943925,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-04,8.8851,38.8077,"2021/01/22 - 2021/03/31",12.2464480874317,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-05,8.8851,38.8077,"2021/01/22 - 2021/03/31",14.4677489177489,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-06,8.8851,38.8077,"2021/01/22 - 2021/03/31",15.5104060913706,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-07,8.8851,38.8077,"2021/01/22 - 2021/03/31",20.3173913043478,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-08,8.8851,38.8077,"2021/01/22 - 2021/03/31",21.043685300207,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-09,8.8851,38.8077,"2021/01/22 - 2021/03/31",32.0433497536946,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-14,8.8851,38.8077,"2021/01/22 - 2021/03/31",12.440671641791,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-15,8.8851,38.8077,"2021/01/22 - 2021/03/31",16.5119266055046,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-18,8.8851,38.8077,"2021/01/22 - 2021/03/31",8.27772277227723,NA
"Addis Ababa AASTU","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-23,8.8851,38.8077,"2021/01/22 - 2021/03/31",6.525,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-25,8.9843,38.7364,"2021/02/25 - 2021/03/28",30.7296296296296,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-26,8.9843,38.7364,"2021/02/25 - 2021/03/28",24.116583747927,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-27,8.9843,38.7364,"2021/02/25 - 2021/03/28",27.8284495021337,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-28,8.9843,38.7364,"2021/02/25 - 2021/03/28",28.3642857142857,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-01,8.9843,38.7364,"2021/02/25 - 2021/03/28",26.3357024793388,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-02,8.9843,38.7364,"2021/02/25 - 2021/03/28",21.991095890411,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-03,8.9843,38.7364,"2021/02/25 - 2021/03/28",21.9685664939551,NA
