city,station,lat,long,datasource,date,pollutant,concentration,unit,station_area,time,date.time,year,min_date,max_date,obs.period
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-17,PM2.5,9.46625267665953,ug/m3,NA,00:00:00,2017-09-17 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-18,PM2.5,10.3641586073501,ug/m3,NA,00:00:00,2017-09-18 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-18,PM2.5,9.38486956521739,ug/m3,NA,00:00:00,2017-09-18 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-19,PM2.5,8.67823091247672,ug/m3,NA,00:00:00,2017-09-19 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-19,PM2.5,7.84752688172043,ug/m3,NA,00:00:00,2017-09-19 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-20,PM2.5,5.38618466898955,ug/m3,NA,00:00:00,2017-09-20 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-20,PM2.5,4.25471869328494,ug/m3,NA,00:00:00,2017-09-20 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-21,PM2.5,9.22480176211454,ug/m3,NA,00:00:00,2017-09-21 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-21,PM2.5,4.55909413854352,ug/m3,NA,00:00:00,2017-09-21 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-22,PM2.5,15.6956423611111,ug/m3,NA,00:00:00,2017-09-22 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
